               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.016897,            0.020586,                   0,             0.96152,             0.75722,             0.83997,             0.63092,            0.012454,           0.0084164,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,            0.015069,            0.019024,                   0,             0.96153,             0.75741,             0.84966,             0.63864,            0.012426,           0.0083034,                   0,            0.001316,            0.001316,            0.001316
                  90,             0.01559,            0.020578,                   0,             0.96154,             0.75757,             0.84398,             0.63919,            0.012332,           0.0082783,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.015392,            0.018893,                   0,             0.99979,             0.75758,             0.85006,              0.6583,            0.012078,           0.0081561,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.014779,            0.018762,                   0,             0.96148,             0.75642,             0.83596,             0.63826,             0.01209,           0.0082831,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,            0.016407,             0.02175,                   0,             0.89642,             0.78683,             0.85009,             0.64311,            0.011778,            0.008225,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,             0.01518,            0.019733,                   0,             0.89652,             0.78762,             0.85246,             0.65163,            0.011695,           0.0081359,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,            0.013906,            0.016392,                   0,             0.82353,             0.84846,             0.84031,             0.66062,            0.011496,           0.0080794,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,            0.014733,            0.016833,                   0,             0.87011,             0.81818,             0.84857,             0.64658,            0.011864,           0.0080818,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,            0.015151,            0.019123,                   0,             0.87088,             0.81818,             0.83361,             0.65525,            0.011641,           0.0082783,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,            0.016783,            0.018485,                   0,             0.87082,             0.81818,             0.83188,             0.65377,            0.011627,           0.0083082,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.015328,            0.018245,                   0,             0.82343,             0.84848,             0.84641,             0.64545,            0.011564,           0.0083287,                   0,           0.0010089,           0.0010089,           0.0010089
